feature,gain,relative_gain
SystolicBP_min_15,220.7554473876953,0.06771269253862774
SystolicBP_std_30,206.52548217773438,0.06334791119121551
SpO2_time_since_breach,170.974365234375,0.05244325683510891
Temperature_max_30,119.47637176513672,0.036647190013642306
PulseRate_var_residual_std_15,111.68722534179688,0.03425801192928143
SystolicBP_min_30,110.90534973144531,0.03401818589810672
SpO2_var_fc_1,106.31640625,0.032610611486180496
SystolicBP_diff_5,104.98441314697266,0.03220204698407575
SystolicBP_min_5,100.44379425048828,0.03080929525400059
SystolicBP_range_15,97.53831481933594,0.02991809262354676
PulseRate_slope_30,90.3574447631836,0.027715492180269162
SystolicBP_mean_15,83.3189697265625,0.025556568802679633
PulseRate_time_since_breach,83.01763153076172,0.025464138827139465
SystolicBP_slope_15,82.84647369384766,0.02541163929372508
Temperature_var_residual_std_15,75.35567474365234,0.023113973835474998
RespRate_var_residual_std_15,73.4452133178711,0.02252797476427815
Temperature_mean_15,72.15544891357422,0.022132363142509
SpO2_slope_30,71.7805404663086,0.022017366839041805
PulseRate_var_fc_5,68.21080780029297,0.02092241668800655
minutes_elapsed,66.29359436035156,0.020334346560062277
PulseRate_diff_15,66.23797607421875,0.020317286668888573
PulseRate_std_30,63.78651428222656,0.01956534563841499
SystolicBP_time_since_breach,59.69288635253906,0.01830970020519648
SystolicBP_diff_15,58.03672790527344,0.017801703917621294
Temperature_var_residual_std_5,57.16148376464844,0.01753323879890423
SystolicBP_current,56.546966552734375,0.01734474689294028
Temperature_time_since_breach,55.409854888916016,0.0169959587049913
PulseRate_min_15,54.176849365234375,0.016617756830874658
PulseRate_range_30,52.768306732177734,0.016185712161679192
SpO2_mean_30,50.5562629699707,0.015507208229274474
PulseRate_slope_15,49.34824752807617,0.015136671605300418
SystolicBP_mean_30,47.08501052856445,0.014442465084449123
Temperature_mean_30,44.762813568115234,0.01373017367484743
SystolicBP_slope_acc_30,41.83935546875,0.012833456417020373
SystolicBP_max_15,41.76724624633789,0.012811338233011008
SpO2_var_residual_std_15,39.85714340209961,0.0122254491501386
RespRate_mean_30,36.001739501953125,0.011042874577270342
SystolicBP_var_residual_std_15,35.61383056640625,0.010923890611997935
RespRate_mean_15,33.68247985839844,0.010331484135858207
PulseRate_diff_5,31.89455223083496,0.00978307006427289
Temperature_min_5,26.614044189453125,0.008163370882735188
Temperature_var_fc_5,24.3480224609375,0.007468310197236648
Temperature_mean_5,23.83565330505371,0.007311150337630986
PulseRate_var_fc_1,23.600154876708984,0.0072389155055553305
PulseRate_var_fc_3,23.375802993774414,0.007170099672245762
PulseRate_range_15,18.050926208496094,0.005536791190691504
SystolicBP_slope_acc_15,14.664085388183594,0.004497939765474639
Temperature_slope_acc_30,7.092461109161377,0.002175482617121536
SystolicBP_mean_5,5.981881141662598,0.0018348325413535956
Temperature_var_residual,0.0,0.0
RespRate_var_fc_10,0.0,0.0
RespRate_var_fc_3,0.0,0.0
RespRate_var_fc_5,0.0,0.0
Temperature_var_fc_1,0.0,0.0
PulseRate_var_fc_10,0.0,0.0
SpO2_var_fc_5,0.0,0.0
SpO2_var_fc_10,0.0,0.0
SystolicBP_var_fc_1,0.0,0.0
SystolicBP_var_fc_3,0.0,0.0
SystolicBP_var_fc_5,0.0,0.0
SystolicBP_var_fc_10,0.0,0.0
RespRate_var_fc_1,0.0,0.0
SpO2_var_fc_3,0.0,0.0
PulseRate_slope_acc_30,0.0,0.0
PulseRate_max_30,0.0,0.0
PulseRate_mean_30,0.0,0.0
PulseRate_min_30,0.0,0.0
PulseRate_slope_acc_15,0.0,0.0
PulseRate_mean_15,0.0,0.0
PulseRate_slope_acc_5,0.0,0.0
PulseRate_max_15,0.0,0.0
PulseRate_slope_5,0.0,0.0
PulseRate_std_15,0.0,0.0
PulseRate_current,0.0,0.0
PulseRate_mean_5,0.0,0.0
PulseRate_std_5,0.0,0.0
PulseRate_min_5,0.0,0.0
PulseRate_max_5,0.0,0.0
PulseRate_range_5,0.0,0.0
PulseRate_var_residual_std_5,0.0,0.0
SpO2_var_residual_std_5,0.0,0.0
SystolicBP_var_residual_std_5,0.0,0.0
RespRate_var_residual_std_5,0.0,0.0
Temperature_var_fc_3,0.0,0.0
Temperature_var_fc_10,0.0,0.0
PulseRate_var_fc_slope,0.0,0.0
SpO2_var_fc_slope,0.0,0.0
SystolicBP_var_fc_slope,0.0,0.0
RespRate_var_fc_slope,0.0,0.0
Temperature_var_fc_slope,0.0,0.0
PulseRate_var_residual,0.0,0.0
SpO2_var_residual,0.0,0.0
SystolicBP_var_residual,0.0,0.0
RespRate_var_residual,0.0,0.0
PulseRate_breach_count_15,0.0,0.0
SpO2_diff_15,0.0,0.0
SpO2_diff_5,0.0,0.0
SpO2_diff_1,0.0,0.0
SpO2_slope_acc_30,0.0,0.0
SpO2_range_30,0.0,0.0
SpO2_max_30,0.0,0.0
SpO2_min_30,0.0,0.0
SpO2_std_30,0.0,0.0
SpO2_min_15,0.0,0.0
SpO2_slope_acc_15,0.0,0.0
SpO2_slope_15,0.0,0.0
SpO2_range_15,0.0,0.0
SpO2_std_15,0.0,0.0
SpO2_max_15,0.0,0.0
SpO2_slope_acc_5,0.0,0.0
SpO2_mean_15,0.0,0.0
SystolicBP_std_15,0.0,0.0
SystolicBP_range_5,0.0,0.0
SystolicBP_slope_5,0.0,0.0
SystolicBP_slope_acc_5,0.0,0.0
SystolicBP_max_5,0.0,0.0
SpO2_breach_count_15,0.0,0.0
PulseRate_danger_dist,0.0,0.0
PulseRate_diff_1,0.0,0.0
SpO2_mean_5,0.0,0.0
SpO2_std_5,0.0,0.0
SpO2_min_5,0.0,0.0
SpO2_max_5,0.0,0.0
SpO2_range_5,0.0,0.0
SpO2_slope_5,0.0,0.0
PulseRate_breach_count_30,0.0,0.0
SpO2_current,0.0,0.0
SystolicBP_breach_count_30,0.0,0.0
SystolicBP_breach_count_15,0.0,0.0
SystolicBP_danger_dist,0.0,0.0
SystolicBP_diff_1,0.0,0.0
SystolicBP_slope_30,0.0,0.0
SystolicBP_range_30,0.0,0.0
SystolicBP_max_30,0.0,0.0
SpO2_breach_count_30,0.0,0.0
SystolicBP_std_5,0.0,0.0
SpO2_danger_dist,0.0,0.0
RespRate_slope_5,0.0,0.0
RespRate_slope_acc_5,0.0,0.0
RespRate_min_5,0.0,0.0
RespRate_max_5,0.0,0.0
RespRate_mean_5,0.0,0.0
RespRate_current,0.0,0.0
RespRate_slope_acc_15,0.0,0.0
RespRate_slope_15,0.0,0.0
RespRate_min_30,0.0,0.0
RespRate_std_30,0.0,0.0
RespRate_range_30,0.0,0.0
RespRate_slope_30,0.0,0.0
RespRate_slope_acc_30,0.0,0.0
RespRate_max_30,0.0,0.0
RespRate_diff_1,0.0,0.0
RespRate_diff_5,0.0,0.0
RespRate_std_15,0.0,0.0
RespRate_min_15,0.0,0.0
RespRate_max_15,0.0,0.0
RespRate_range_15,0.0,0.0
RespRate_range_5,0.0,0.0
RespRate_std_5,0.0,0.0
Temperature_current,0.0,0.0
RespRate_time_since_breach,0.0,0.0
RespRate_breach_count_30,0.0,0.0
RespRate_breach_count_15,0.0,0.0
RespRate_diff_15,0.0,0.0
RespRate_danger_dist,0.0,0.0
Temperature_range_5,0.0,0.0
Temperature_max_5,0.0,0.0
Temperature_std_15,0.0,0.0
Temperature_min_15,0.0,0.0
Temperature_range_15,0.0,0.0
Temperature_max_15,0.0,0.0
Temperature_slope_15,0.0,0.0
Temperature_slope_5,0.0,0.0
Temperature_slope_acc_5,0.0,0.0
Temperature_std_5,0.0,0.0
Temperature_min_30,0.0,0.0
Temperature_std_30,0.0,0.0
Temperature_slope_acc_15,0.0,0.0
Temperature_range_30,0.0,0.0
Temperature_diff_1,0.0,0.0
Temperature_diff_5,0.0,0.0
Temperature_diff_15,0.0,0.0
Temperature_slope_30,0.0,0.0
Temperature_danger_dist,0.0,0.0
Temperature_breach_count_15,0.0,0.0
Temperature_breach_count_30,0.0,0.0
shock_index,0.0,0.0
early_warning_score,0.0,0.0
abnormal_vitals_count,0.0,0.0
worsening_trend_count,0.0,0.0
max_var_residual,0.0,0.0
